CYCLE_STATUS,CYCLE_TYPE,CONSTRUCTION_STATUS,CONSTRUCTION_TYPE,CYCLE_WIDTH,GeoJSON,geo_point_2d
Route,,Constructed,,,"{""coordinates"": [[-76.5833143, 44.2665727], [-76.5807631, 44.2666015]], ""type"": ""LineString""}","44.266587099999995, -76.5820387"
Route,,Constructed,,,"{""coordinates"": [[-76.5784742, 44.2670481], [-76.5781293, 44.2671577], [-76.5777172, 44.2672682], [-76.5773449, 44.267304], [-76.5764127, 44.2673092]], ""type"": ""LineString""}","44.26724867428469, -76.57745381573193"
Route,,Constructed,,,"{""coordinates"": [[-76.5764127, 44.2673092], [-76.5741525, 44.2673287]], ""type"": ""LineString""}","44.26731895, -76.57528260000001"
Route,,Constructed,,,"{""coordinates"": [[-76.4635222, 44.2378375], [-76.4605939, 44.239012], [-76.4600045, 44.2392308], [-76.4592384, 44.2394913], [-76.458451, 44.2396847]], ""type"": ""LineString""}","44.238820547211645, -76.4610064025129"
Route,,Exists,,,"{""coordinates"": [[-76.4703784, 44.2352933], [-76.4715426, 44.2350533], [-76.4720619, 44.2349501], [-76.4724182, 44.234892], [-76.4728591, 44.2348327]], ""type"": ""LineString""}","44.23504641842752, -76.47161586644947"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,,"{""coordinates"": [[-76.559082, 44.2560735], [-76.5590514, 44.2558836], [-76.5590227, 44.2557662], [-76.5589911, 44.2556684], [-76.5589543, 44.2555719], [-76.558913, 44.2554927], [-76.5588206, 44.2553589], [-76.5587288, 44.2552436], [-76.5586182, 44.2551322], [-76.5579236, 44.2545046], [-76.5578152, 44.2544103], [-76.5574944, 44.2540955], [-76.5569956, 44.2536383]], ""type"": ""LineString""}","44.254776297471196, -76.55816685505597"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,,"{""coordinates"": [[-76.5569753, 44.2537898], [-76.5584546, 44.2551134], [-76.5585282, 44.2551823], [-76.5585966, 44.2552489], [-76.5586723, 44.255335], [-76.5587962, 44.2555015], [-76.5588393, 44.2555807], [-76.5588729, 44.2556905], [-76.558913, 44.2558529], [-76.5589252, 44.2560142], [-76.558926, 44.25612]], ""type"": ""LineString""}","44.2548670073483, -76.55810515813127"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,,"{""coordinates"": [[-76.5552795, 44.2518655], [-76.5553069, 44.2519495], [-76.5553795, 44.2521142], [-76.5554711, 44.2522824], [-76.5556114, 44.2524867], [-76.5557543, 44.2526615], [-76.5559527, 44.2528663], [-76.5562328, 44.2531263], [-76.5568008, 44.2536299]], ""type"": ""LineString""}","44.25280730506948, -76.55596183742576"
Route - Signed + Sharrows,,Constructed,Joint Reconstruction,,"{""coordinates"": [[-76.4930429, 44.2334648], [-76.4932184, 44.2341491]], ""type"": ""LineString""}","44.23380695, -76.49313065000001"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5526018, 44.247071], [-76.5531395, 44.2473195], [-76.5533714, 44.2474341], [-76.5536275, 44.2475765], [-76.5537653, 44.2476719], [-76.5539598, 44.2478154], [-76.5541657, 44.2480069]], ""type"": ""LineString""}","44.24749154345749, -76.5534141881919"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5526696, 44.2470029], [-76.5517673, 44.2465789], [-76.5505767, 44.2460154], [-76.5502711, 44.2458719], [-76.5501074, 44.2457787], [-76.5499487, 44.2456799], [-76.5497629, 44.2455384], [-76.5496059, 44.2454059], [-76.5494806, 44.2452879], [-76.5493382, 44.2451141], [-76.5492051, 44.2449027], [-76.5490804, 44.2446108], [-76.5490206, 44.24441]], ""type"": ""LineString""}","44.24592052588111, -76.55064157216032"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5489058, 44.2445071], [-76.5489651, 44.2446743], [-76.5491053, 44.2449641], [-76.5492836, 44.245216], [-76.549535, 44.2454762], [-76.5498908, 44.24575], [-76.5501154, 44.2458853], [-76.5503713, 44.2460184], [-76.5526018, 44.247071]], ""type"": ""LineString""}","44.245991474127315, -76.55057094099116"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5490206, 44.24441], [-76.5489827, 44.2442235], [-76.5489291, 44.2436688], [-76.5488864, 44.2429326], [-76.5489026, 44.2424612], [-76.5488973, 44.2419601], [-76.5488793, 44.241679]], ""type"": ""LineString""}","44.24304693511105, -76.5489183600447"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.548658, 44.2417102], [-76.5487086, 44.2423664], [-76.5487607, 44.2428669], [-76.5487912, 44.2432367], [-76.5488549, 44.2441783], [-76.5488698, 44.2443271]], ""type"": ""LineString""}","44.243018438853696, -76.5487666616692"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5488586, 44.2414016], [-76.548824, 44.2407175], [-76.5488064, 44.2403474]], ""type"": ""LineString""}","44.24087451776663, -76.54883213790306"
Bike Lane,,Constructed,Cycling Lanes,,"{""coordinates"": [[-76.4871818, 44.2409057], [-76.487316, 44.2410127], [-76.4875687, 44.2413885], [-76.4877418, 44.2421552], [-76.487765, 44.2423388], [-76.4877846, 44.2428559], [-76.4877773, 44.2430389], [-76.4875327, 44.244554]], ""type"": ""LineString""}","44.24266966094247, -76.48763867604055"
Bike Lane,,Exists,Cycling Lanes,,"{""coordinates"": [[-76.4752031, 44.2755374], [-76.4765347, 44.2742769], [-76.4767216, 44.2740822], [-76.4768879, 44.2739006], [-76.4770726, 44.2736829], [-76.4772356, 44.2734978], [-76.4773798, 44.2733045]], ""type"": ""LineString""}","44.27444981180811, -76.47632250311169"
Bike Lane,,Exists,Cycling Lanes,,"{""coordinates"": [[-76.47732, 44.2731503], [-76.4770863, 44.2734527], [-76.4769409, 44.2736513], [-76.4765678, 44.2740803], [-76.4750562, 44.2754964]], ""type"": ""LineString""}","44.27436087183143, -76.4762291143425"
Route,,Approved for Construction,Carryover Project,,"{""coordinates"": [[-76.4735707, 44.2773577], [-76.4737231, 44.2769822], [-76.4738657, 44.2767371], [-76.4740348, 44.2765008], [-76.4742293, 44.2762746], [-76.4744481, 44.2760601], [-76.4750562, 44.2754964]], ""type"": ""LineString""}","44.27636497882235, -76.47422831534425"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5483969, 44.2377234], [-76.5484632, 44.2380512], [-76.5484769, 44.2381968], [-76.5485248, 44.2390366]], ""type"": ""LineString""}","44.23837764577687, -76.5484795294535"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5670379, 44.2184559], [-76.5659525, 44.2185194]], ""type"": ""LineString""}","44.21848765, -76.56649519999999"
