POI_ID,ADDRESS,"﻿""DESCRIPTION""",NAME,GeoJSON,geo_point_2d
7679,33 BAGOT ST,Monument,CITY PARK PLAQUE (KING ST E),"{""coordinates"": [-76.4882711, 44.2240551], ""type"": ""Point""}","44.2240551, -76.4882711"
7410,225 ONTARIO ST,Monument,CONFEDERATION ARCH,"{""coordinates"": [-76.4797085, 44.2295676], ""type"": ""Point""}","44.2295676, -76.4797085"
7411,211ONTARIO ST,Monument,CONFEDERATION PARK (KINGSTON SINCE 1846) PLAQUE,"{""coordinates"": [-76.4801473, 44.2296048], ""type"": ""Point""}","44.2296048, -76.4801473"
7536,1789 BATH RD,Soccer Field,FRONTENAC SECONDARY SCHOOL SOCCER FIELD,"{""coordinates"": [-76.5765027, 44.2361992], ""type"": ""Point""}","44.2361992, -76.5765027"
7743,,Village,FERNLEIGH,"{""coordinates"": [-76.9824701, 44.9080337], ""type"": ""Point""}","44.9080337, -76.9824701"
8041,,Village,GODFREY,"{""coordinates"": [-76.6761435, 44.5450916], ""type"": ""Point""}","44.5450916, -76.6761435"
8042,,Village,ALMONT,"{""coordinates"": [-76.197014, 45.2270317], ""type"": ""Point""}","45.2270317, -76.197014"
7745,,Village,LYNDHURST,"{""coordinates"": [-76.1240154, 44.5510317], ""type"": ""Point""}","44.5510317, -76.1240154"
7459,,Village,MYERS CAVE,"{""coordinates"": [-77.1180594, 44.84272], ""type"": ""Point""}","44.84272, -77.1180594"
7837,1789 BATH RD,Soccer Field,FRONTENAC SECONDARY SCHOOL FOOTBALL FIELD,"{""coordinates"": [-76.5775454, 44.2353742], ""type"": ""Point""}","44.2353742, -76.5775454"
7245,750 INNOVATION DR,Soccer Field,J. MACHEN SPORTS FIELDS,"{""coordinates"": [-76.436832, 44.2728461], ""type"": ""Point""}","44.2728461, -76.436832"
7462,,Village,RONALDSON,"{""coordinates"": [-77.0228622, 44.6931493], ""type"": ""Point""}","44.6931493, -77.0228622"
7363,807 LA SALLE BLVD,Park,RAVENSVIEW PARK,"{""coordinates"": [-76.4264675, 44.2381481], ""type"": ""Point""}","44.2381481, -76.4264675"
8121,1180 WOODBINE RD,Soccer Field,WOODBINE PARK SOCCER FIELD 2,"{""coordinates"": [-76.6013969, 44.2607264], ""type"": ""Point""}","44.2607264, -76.6013969"
8047,,Village,BLAKENEY,"{""coordinates"": [-76.2470141, 45.2650319], ""type"": ""Point""}","45.2650319, -76.2470141"
