ROAD_ELEMENT_ID,STREET_BODY_NAME,STREET_TYPE_SUFFIX,DIRECTION_SUFFIX,STREET_CP,FROM_STREET,TO_STREET,PLOW_ROUTE,F_ADDR_L,T_ADDR_L,F_ADDR_R,T_ADDR_R,F_ADDR_L_911,T_ADDR_L_911,F_ADDR_R_911,T_ADDR_R_911,NO_OF_LANE,GIS_CLASS,JURISDICTION,RIGHT_SIDE_PARITY,TRAFFIC_FLOW,STATUS,MUNICIPALITY,RIGHT_MUNICIPALITY,LEFT_MUNICIPALITY,ROAD_LEVEL,STREET_TYPE_SHORT,MAP_LABEL,GeoJSON,geo_point_2d
144,GREENWOOD PARK,DR,,GREENWOOD PARK DR,ROSE ABBEY DR,FREEMAN CRES,4C-R,,,,,1042,1050,1043,1049,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,DR,Greenwood Park Dr,"{""coordinates"": [[-76.4491564, 44.2670602], [-76.4487173, 44.2674584]], ""type"": ""LineString""}","44.267259300000006, -76.44893685"
3474,RUSKIN,ST,,RUSKIN ST,KINGSCOURT AVE,BRANT AVE,22R,22,48,11,51,10,48,11,51,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Ruskin St,"{""coordinates"": [[-76.5019811, 44.2524079], [-76.5047883, 44.2522999]], ""type"": ""LineString""}","44.2523539, -76.5033847"
1355,VICTORIA,ST,,VICTORIA ST,DORRANCE ST,FIFTH AVE,22B,818,840,821,837,818,840,821,837,2,COLLECTOR,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Victoria St,"{""coordinates"": [[-76.50402, 44.2453015], [-76.5040831, 44.2461334]], ""type"": ""LineString""}","44.24571745, -76.50405155"
217,WELBORNE,AVE,,WELBORNE AVE,BRODIE AVE,EVERITT AVE,34R,185,187,190,200,185,189,188,200,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,AV,Welborne Ave,"{""coordinates"": [[-76.5806827, 44.2215238], [-76.5811995, 44.2222538]], ""type"": ""LineString""}","44.22188880000001, -76.58094109999999"
1397,DIVISION,ST,,DIVISION ST,ARMADALE PL,JOHN COUNTER BLVD,2A,938,954,923,959,926,954,923,959,4,ARTERIAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Division St,"{""coordinates"": [[-76.4973805, 44.2577516], [-76.4975181, 44.2585969], [-76.4975433, 44.258757], [-76.4975764, 44.2589165], [-76.4976172, 44.2590749], [-76.4976659, 44.2592323], [-76.4977222, 44.2593883], [-76.4977861, 44.2595428], [-76.4978575, 44.2596956]], ""type"": ""LineString""}","44.2587375957614, -76.49756930859364"
3618,DALTON,AVE,,DALTON AVE,DIVISION ST,WARNE CRES,2A,,,45,69,2,58,1,69,2,ARTERIAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,AV,Dalton Ave,"{""coordinates"": [[-76.4986411, 44.2661578], [-76.4994623, 44.2658814], [-76.499774, 44.265857], [-76.5001251, 44.2658297]], ""type"": ""LineString""}","44.265948358178775, -76.49937384154246"
1457,AMBERDALE,CRES,,AMBERDALE CRES,ASHWOOD DR,OAKVIEW AVE,P,987,1001,954,1004,951,1005,954,1004,2,LOCAL,PRIVATE,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,CR,Amberdale Cres,"{""coordinates"": [[-76.5884083, 44.2495095], [-76.5890331, 44.2497062], [-76.5890386, 44.2497083], [-76.5890441, 44.2497102], [-76.5890498, 44.249712], [-76.5890555, 44.2497137], [-76.5890613, 44.2497153], [-76.5890672, 44.2497166], [-76.5890731, 44.2497179], [-76.5890791, 44.249719], [-76.5890851, 44.2497199], [-76.5890912, 44.2497207], [-76.5890973, 44.2497213], [-76.5891034, 44.2497218], [-76.5891096, 44.2497221], [-76.5891158, 44.2497223], [-76.589122, 44.2497223], [-76.5891281, 44.2497221], [-76.5891343, 44.2497218], [-76.5891405, 44.2497214], [-76.5891466, 44.2497208], [-76.5891527, 44.24972], [-76.5891587, 44.2497191], [-76.5891647, 44.249718], [-76.5891706, 44.2497168], [-76.589176, 44.2497157], [-76.5891812, 44.2497144], [-76.5891864, 44.249713], [-76.5891915, 44.2497114], [-76.5891965, 44.2497098], [-76.5892015, 44.249708], [-76.5892063, 44.2497061], [-76.5892111, 44.249704], [-76.5892158, 44.2497019], [-76.5892204, 44.2496996], [-76.5892248, 44.2496973], [-76.5892292, 44.2496948], [-76.5892334, 44.2496922], [-76.5892375, 44.2496895], [-76.5892414, 44.2496867], [-76.5892453, 44.2496838], [-76.5892489, 44.2496809], [-76.5892525, 44.2496778], [-76.5892559, 44.2496746], [-76.5892591, 44.2496714], [-76.5892622, 44.2496681], [-76.5892651, 44.2496647], [-76.5892679, 44.2496612], [-76.5892705, 44.2496577], [-76.5892729, 44.2496541], [-76.5895368, 44.2491019]], ""type"": ""LineString""}","44.249532785349345, -76.58906981831694"
2846,UNIVERSITY,AVE,,UNIVERSITY AVE,STUART ST,BADER LANE,18A,,,,,2,10,1,11,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,AV,University Ave,"{""coordinates"": [[-76.4955869, 44.2242591], [-76.4955817, 44.2250925]], ""type"": ""LineString""}","44.2246758, -76.4955843"
638,SIERRA,AVE,,SIERRA AVE,BIRCHWOOD DR,TIVOLI AVE,31B,1423,1457,1422,1454,1423,1457,1422,1454,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,AV,Sierra Ave,"{""coordinates"": [[-76.5784162, 44.2719995], [-76.5775019, 44.2719941], [-76.5774849, 44.2719975], [-76.5774557, 44.2720074], [-76.577432, 44.2720207], [-76.5774111, 44.2720388], [-76.577395, 44.2720629], [-76.5773882, 44.2720876], [-76.5773843, 44.2721285], [-76.5773927, 44.2727579]], ""type"": ""LineString""}","44.27216361817352, -76.5776919975009"
16801,MACDONNELL,ST,,MACDONNELL ST,MACDONNELL ST,FIRST AVE,22A,,,,,558,588,561,587,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Macdonnell St,"{""coordinates"": [[-76.5059571, 44.2415802], [-76.5059801, 44.2417206], [-76.5060829, 44.2427035]], ""type"": ""LineString""}","44.24214136938001, -76.50602358437462"
